Video ID,Category,Script,Final
5AU2vJU-QJM,Food and Entertaining,we're going to add some chopped up onion and season that with salt and pepper,instruction
5AU2vJU-QJM,Food and Entertaining,give that a good stir and we want to cook this for about three to four minutes until they start to soften,instruction
5AU2vJU-QJM,Food and Entertaining,next we're going to add some chopped up garlic of course and some seasonings,instruction
5AU2vJU-QJM,Food and Entertaining,i'm using italian seasoning and cayenne pepper my two favorite things in the entire universe,tool
5AU2vJU-QJM,Food and Entertaining,it's really nice to add seasonings at this point because it really helps to bring out the flavor when you add it when you're sauteing,justification
5AU2vJU-QJM,Food and Entertaining,now i only cook that for a minute and then i'm going to dad are thickening agent,instruction
5AU2vJU-QJM,Food and Entertaining,now i'm using flour so we're making a room here,instruction
5AU2vJU-QJM,Food and Entertaining,add your flour and then continue stirring so that you can incorporate all the flour in with the liquid and you wanna keep stirring so that it doesn't burn to the bottom,instruction
5AU2vJU-QJM,Food and Entertaining,cook it for about two minutes to cook out the raw flour taste and then we can start adding our liquids,instruction
5AU2vJU-QJM,Food and Entertaining,so i'm adding my chicken stock and then i have my whisk ready and just going to go ahead and whisk that in,instruction
5AU2vJU-QJM,Food and Entertaining,making sure to get all the clumps out and then i can slowly start adding in my milk,instruction
5AU2vJU-QJM,Food and Entertaining,now you can use cream you can use half and half whatever floats your boat,tool (multiple)
5AU2vJU-QJM,Food and Entertaining,and also don't forget to add your broccoli water so we're going to season once again with salt and pepper,instruction
5AU2vJU-QJM,Food and Entertaining,make sure everything's nice and incorporated and then you can add your chopped up potatoes,instruction
5AU2vJU-QJM,Food and Entertaining,now i just went ahead and cubed my potatoes,late instruction
5AU2vJU-QJM,Food and Entertaining,these are not cooked,description
5AU2vJU-QJM,Food and Entertaining,we're going to cook these in the soup as it brings up to a boil,description
5AU2vJU-QJM,Food and Entertaining,that way you're not overcooking your potatoes because all of your liquids in here are cold and so everything's going to come up to temperature at the same time,justification
5AU2vJU-QJM,Food and Entertaining,so you're not going to have water logged potatoes,justification
5AU2vJU-QJM,Food and Entertaining,now you want to cook your potatoes for about five to six minutes,instruction
5AU2vJU-QJM,Food and Entertaining,we want them to be almost fork tender,description
5AU2vJU-QJM,Food and Entertaining,you want to be able to pierce it but you don't want them to be all the way done,description
5AU2vJU-QJM,Food and Entertaining,if you do cook them too much then it'll just make the soup thicker,justification
5AU2vJU-QJM,Food and Entertaining,it's not really a big deal so once it's to that point i'm going to add a little bit of cream cheese,instruction
5AU2vJU-QJM,Food and Entertaining,yes i know it's a little bit decadent but man is it so good,side note
5AU2vJU-QJM,Food and Entertaining,trust me on this,side note
5AU2vJU-QJM,Food and Entertaining,and of course i'm going to add some cheddar cheese,instruction
5AU2vJU-QJM,Food and Entertaining,now i know it's the orange cheddar,side note
5AU2vJU-QJM,Food and Entertaining,cheese,side note
5AU2vJU-QJM,Food and Entertaining,they didn't have white cheddar at the grocery store for some reason,side note
5AU2vJU-QJM,Food and Entertaining,i don't know what their deal is but it's going to be orange cheddar today,side note
5AU2vJU-QJM,Food and Entertaining,give that all a good stir and that will slowly start to melt together,instruction
5AU2vJU-QJM,Food and Entertaining,now you can go ahead and add your broccoli,instruction
5AU2vJU-QJM,Food and Entertaining,now this step is really dependent on what you like,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,i personally like broccoli soup that has a little bit of crunchiness left to the broccoli,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,i don't like the broccoli to be mushy so you can cook it as long as you want,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,it's totally up to you but i like to cook it for maybe another five to eight minutes and it,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,taste,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,test it,instruction (optional)
5AU2vJU-QJM,Food and Entertaining,if it's where i want it then you're ready to serve and that is it,outcome
5AU2vJU-QJM,Food and Entertaining,you have a delicious creamy cheddar potato and broccoli soup that is perfect for the flu season,outcome
5AU2vJU-QJM,Food and Entertaining,yeah yeah now i'm not going to lie my throat is so sore it feels like there's a thousand people doing rug burn all over my throat and i just want to take the whole pot and just dump it down my throat,side note
5AU2vJU-QJM,Food and Entertaining,so without further ado we're going in for the taste test,transition
5AU2vJU-QJM,Food and Entertaining,wow holy cannoli,side note
5AU2vJU-QJM,Food and Entertaining,pants,side note
5AU2vJU-QJM,Food and Entertaining,i don't know what that means but it tastes real good has a ton of flavor it's not too heavy,outcome
5AU2vJU-QJM,Food and Entertaining,it feels so yeah but on my throat,outcome
5AU2vJU-QJM,Food and Entertaining,like,outcome
5AU2vJU-QJM,Food and Entertaining,i can't even explain how good it feels on my throat,outcome
5AU2vJU-QJM,Food and Entertaining,so with that being said i'm going to shut up now so i can finish my soup and maybe my nose will drain,side note
5AU2vJU-QJM,Food and Entertaining,and i won't sound like a hat a goose anymore because i hate when i'm plugged up,side note
5AU2vJU-QJM,Food and Entertaining,i don't know why it sound like a full on goose,side note
5AU2vJU-QJM,Food and Entertaining,like just want,side note
5AU2vJU-QJM,Food and Entertaining,it's really really not a good look for me,side note
5AU2vJU-QJM,Food and Entertaining,so if you do want to recreate this recipe just look below in the description box,outro
5AU2vJU-QJM,Food and Entertaining,i'll leave all the measurements as well as written instructions,outro
5AU2vJU-QJM,Food and Entertaining,and if you did like this video don't forget to smack that like one,outro
5AU2vJU-QJM,Food and Entertaining,and also if you're not subscribed already please don't forget to subscribe and hit the little bell notification,outro
5AU2vJU-QJM,Food and Entertaining,that way you get notified every single time i upload a video,outro
5AU2vJU-QJM,Food and Entertaining,you know the deal,outro
5AU2vJU-QJM,Food and Entertaining,i'd say this every single time,outro
5AU2vJU-QJM,Food and Entertaining,whatever but blames it,outro
5AU2vJU-QJM,Food and Entertaining,just do it,outro
5AU2vJU-QJM,Food and Entertaining,do it,outro
5AU2vJU-QJM,Food and Entertaining,so as always thank you guys so much for hanging out with me and we'll see you next time,outro
5AU2vJU-QJM,Food and Entertaining,boost k,outro
yYOysPt5gic,Food and Entertaining,hey what's up you guys,greeting
yYOysPt5gic,Food and Entertaining,chef billy parisi,greeting
yYOysPt5gic,Food and Entertaining,and we're going to make a delicious detox chicken soup with kale and cannellini beans,goal
yYOysPt5gic,Food and Entertaining,in partnership with bob's red mill,side note
yYOysPt5gic,Food and Entertaining,i'm going to be using bob's red mill cannellini beans,tool
yYOysPt5gic,Food and Entertaining,these are awesome beans,tool
yYOysPt5gic,Food and Entertaining,creamy texture slightly nutty loaded with flavor,tool
yYOysPt5gic,Food and Entertaining,go ahead and add them to a large container of next,instruction
yYOysPt5gic,Food and Entertaining,once they're all poured in go ahead and head over to the sink because we're going to fill it up with cold water about six inches or so over the beans,instruction
yYOysPt5gic,Food and Entertaining,so here's a really quick old school trick that i learned way back in the day,tip
yYOysPt5gic,Food and Entertaining,you've got those soften up beans and we are good to go,outcome
yYOysPt5gic,Food and Entertaining,go ahead and set those beans to the side,instruction
yYOysPt5gic,Food and Entertaining,and now i've got some boneless skinless chicken breast,tool
yYOysPt5gic,Food and Entertaining,what we're going to do here is season them on all sides with a little bit of sea salt,instruction
yYOysPt5gic,Food and Entertaining,next with some cracked black pepper,instruction
yYOysPt5gic,Food and Entertaining,be sure to season well,instruction
yYOysPt5gic,Food and Entertaining,you know me i cook for four thousand four hundred and twenty three people every time i make soup and ,side note
yYOysPt5gic,Food and Entertaining,add in some oil,instruction
yYOysPt5gic,Food and Entertaining,next we want to steer these chicken breasts on medium low heat,instruction
yYOysPt5gic,Food and Entertaining,we want to get a nice brown on them and cook them all the way through,instruction
yYOysPt5gic,Food and Entertaining,so after about eight to ten minutes or so go ahead and flip the chicken over,instruction
yYOysPt5gic,Food and Entertaining,so go to your cutting board,instruction
yYOysPt5gic,Food and Entertaining,we are going to cut the ends off some onions cut them in half and then small dice them,instruction
yYOysPt5gic,Food and Entertaining,the next thing we want to do is peel some carrots and again like the onions,instruction
yYOysPt5gic,Food and Entertaining,small dice those as well,instruction
yYOysPt5gic,Food and Entertaining,go ahead next and small dice up a few ribs of celery,instruction
yYOysPt5gic,Food and Entertaining,and we're gonna finally mince or press about four or five cloves of garlic,instruction
yYOysPt5gic,Food and Entertaining,go ahead and add those all together in a bowl,instruction
yYOysPt5gic,Food and Entertaining,now we've got some cremini mushrooms,tool
yYOysPt5gic,Food and Entertaining,you could absolutely use domestic mushrooms or any other type of mushrooms that you love,tool (multiple)
yYOysPt5gic,Food and Entertaining,we just want to sort of cut these into little wedges so go ahead and slice them in half and then slice them again into the little wedges,instruction
yYOysPt5gic,Food and Entertaining,and then when the last vegetables we have is a butternut squashincredibly thick,tool
yYOysPt5gic,Food and Entertaining,run it down the side again and then,instruction
yYOysPt5gic,Food and Entertaining,for these i want a medium dice them,instruction
yYOysPt5gic,Food and Entertaining,go ahead and add that to the bowl with all of those vegetables,instruction
yYOysPt5gic,Food and Entertaining,go back over to that pot,instruction
yYOysPt5gic,Food and Entertaining,we want to remove them set them aside on a plate,instruction
yYOysPt5gic,Food and Entertaining,now go ahead and pour in all those amazing vegetables that we sliced up,instruction
yYOysPt5gic,Food and Entertaining,we want to cook these for about ten to twelve minutes,instruction
yYOysPt5gic,Food and Entertaining,give it a few stirs want to get a very light brown on them,instruction
yYOysPt5gic,Food and Entertaining,now at this point we're going to add in our chicken the drained bob's red mill cannellini beans that we soaked overnight,instruction
yYOysPt5gic,Food and Entertaining,next we're going to hit it with some chicken stock,instruction
yYOysPt5gic,Food and Entertaining,make sure to cover everything and what we want to do is let this cook over low heat for about sixty to ninety minutes,instruction
yYOysPt5gic,Food and Entertaining,so head back over to your cutting board,instruction
yYOysPt5gic,Food and Entertaining,and i've got two bunches of beautiful fresh kale,tool
yYOysPt5gic,Food and Entertaining,i like to thinly slice this up,instruction
yYOysPt5gic,Food and Entertaining,but go ahead and thinly slice it,instruction
yYOysPt5gic,Food and Entertaining,boom you guys the soup is done,outcome
yYOysPt5gic,Food and Entertaining,it smells glorious,outcome
yYOysPt5gic,Food and Entertaining,u in this kitchen,outcome
yYOysPt5gic,Food and Entertaining,cannot wait to try this,outcome
yYOysPt5gic,Food and Entertaining,can wait for you guys to try it as well,outcome
yYOysPt5gic,Food and Entertaining,so to finish off this soup take the chicken breasts out and then using two forks,instruction
yYOysPt5gic,Food and Entertaining,we're going to shred it apart and think barbecue up in here right now,instruction
yYOysPt5gic,Food and Entertaining,shred it apart so it's nice and shredded,instruction
yYOysPt5gic,Food and Entertaining,add it back to the chicken soup,instruction
yYOysPt5gic,Food and Entertaining,now what we want to do is finish it off with some fresh thyme,instruction
yYOysPt5gic,Food and Entertaining,and of course we're going to season it up with some sea salt and some fresh cracked black pepper,instruction
yYOysPt5gic,Food and Entertaining,now it's time to serve it up,instruction
yYOysPt5gic,Food and Entertaining,head back over to wherever your bull is,instruction
yYOysPt5gic,Food and Entertaining,everyone's happy the nutrients are still there,justification
yYOysPt5gic,Food and Entertaining,the soup looks absolutely incredible,outcome
yYOysPt5gic,Food and Entertaining,like i said earlier it smells just bomb up in here,outcome
yYOysPt5gic,Food and Entertaining,cannot wait to eat it,outcome
yYOysPt5gic,Food and Entertaining,the time complements those vegetables,outcome
yYOysPt5gic,Food and Entertaining,the squash the kale the beans and chicken,outcome
yYOysPt5gic,Food and Entertaining,oh my gosh this is so good,outcome
yYOysPt5gic,Food and Entertaining,i'm not wasting anymore time come back next week to see what detox recipe i'm going to do,outro
yYOysPt5gic,Food and Entertaining,i think it's going to be a salad,outro
yYOysPt5gic,Food and Entertaining,i don't know,outro
yYOysPt5gic,Food and Entertaining,stay tuned,outro
yYOysPt5gic,Food and Entertaining,we'll catch you all later,outro
2Xyfgwj92v0,Home and Garden,"Hey, what's up everybody I'm Tommy",greeting
2Xyfgwj92v0,Home and Garden,and today I'm going to show you how I made this vice mounted router table with built in dust collection,goal
2Xyfgwj92v0,Home and Garden,"Whether it's your first time here or even if you've been here before, welcome to one Minute Workbench.",greeting
2Xyfgwj92v0,Home and Garden,"So when I started out building this router table, I actually intended on it just being a temporary jig, but during the building process it sort of evolved into this fully featured router table",briefing
2Xyfgwj92v0,Home and Garden,I started off by cutting a piece for the mounting block and a piece for the main surface of the router table.,instruction
2Xyfgwj92v0,Home and Garden,I checked to see that the router would have plenty of room and make sure that the device would not interfere with its operation,instruction
2Xyfgwj92v0,Home and Garden,Then I secured the two pieces together.,instruction
2Xyfgwj92v0,Home and Garden,"Everywhere I used screws, I made sure to drill pilot holes and counter sinks.",instruction
2Xyfgwj92v0,Home and Garden,"I chose a bit that was larger than my largest router, bit marked a hole in the center of the table, and then drilled it out on the drill press.",instruction
2Xyfgwj92v0,Home and Garden,I lowered the bit into the hole to help me align the router to the approximate center with the router and the approximate center,instruction
2Xyfgwj92v0,Home and Garden,I marked the mounting thread locations with a pencil.,instruction
2Xyfgwj92v0,Home and Garden,"I picked a forstner bit large enough to accommodate the tool for the bolt heads, and then drill the holes.",instruction
2Xyfgwj92v0,Home and Garden,I finished drilling the holes with a 5 sixteenths inch bit to match the size of the mounting bolts.,instruction
2Xyfgwj92v0,Home and Garden,"I realized though that the mounting holes on the router were not symmetric, so I had to do it again",description
2Xyfgwj92v0,Home and Garden,Starting from the bottom of the table.,description
2Xyfgwj92v0,Home and Garden,"I mounted the router in place, set the bit depth for a roundover and gave it a preliminary test.",instruction
2Xyfgwj92v0,Home and Garden,"It was all looking good, so I decided to make a fence.",subgoal
2Xyfgwj92v0,Home and Garden,"At first I just clamped the fence in place to test it since that was working well, I figured I might as well continue and make it adjustable.",instruction
2Xyfgwj92v0,Home and Garden,I just copied the cut out from the fence to the fence base.,instruction
2Xyfgwj92v0,Home and Garden,"Now I'm doing these cuts with a bandsaw, but you could easily do these with a jigsaw or a coping saw.",tool (multiple)
2Xyfgwj92v0,Home and Garden,"With the fence built, I started working on the adjustment knobs.",subgoal
2Xyfgwj92v0,Home and Garden,I rounded all of the corners using my homemade disc Sander.,instruction
2Xyfgwj92v0,Home and Garden,"Since I had the Sander out, I took the opportunity to go ahead and round over all the other sharp corners.",instruction
2Xyfgwj92v0,Home and Garden,I glued up the knobs and then set those aside to dry.,instruction
2Xyfgwj92v0,Home and Garden,"While the knobs were drying, I took some measurements and determined where I wanted the mounting bolts for the adjustable fence.",instruction
2Xyfgwj92v0,Home and Garden,"I added mounting bolts, but I'm not going to go into detail on this because as you'll see in just a bit I ended up changing this feature.",instruction
2Xyfgwj92v0,Home and Garden,I needed to add slots so I scored a line and then drilled 1/2 inch hole in the center of that line.,instruction
2Xyfgwj92v0,Home and Garden,"With a half inch bit installed in the router, I use the hole to install a temporary fence for cutting the slots.",instruction
2Xyfgwj92v0,Home and Garden,"Right when I finished making the knobs, I realized I wanted to change things so that the bolts were part of the knobs and not part of the table",subgoal
2Xyfgwj92v0,Home and Garden,So I removed the bolts and drilled out large counter bores in the mounting block,instruction
2Xyfgwj92v0,Home and Garden,This allowed me to use T nuts and the mounting block.,effect
2Xyfgwj92v0,Home and Garden,"To make the new knobs, I drilled 1/2 inch counter bore and A5 sixteenths inch through hole in the main component and then drill to 5/8 inch hole in a smaller bottom component",instruction
2Xyfgwj92v0,Home and Garden,This will make sense in just a little bit.,transition
2Xyfgwj92v0,Home and Garden,The hole in the knob is intentionally left a little bit smaller than the points of the hex bolt,description
2Xyfgwj92v0,Home and Garden,This lets you hammer the bolt in place and lets the wood form a nice snug fit.,effect
2Xyfgwj92v0,Home and Garden,"To make sure the bolt didn't back out, I used a nylon lock nut.",instruction
2Xyfgwj92v0,Home and Garden,I of course rounded all the corners and then added the bottom components to the knobs.,instruction
2Xyfgwj92v0,Home and Garden,I scored a center line on a small scrap and then transferred the center line all the way around the ends.,instruction
2Xyfgwj92v0,Home and Garden,Then I used a pencil just to darken the center line.,instruction
2Xyfgwj92v0,Home and Garden,I very carefully drilled 1/2 inch hole in the center of that line.,instruction
2Xyfgwj92v0,Home and Garden,"I mounted the router in place, inserted the bit into the piece and squared the piece with the outside edge of the table",instruction
2Xyfgwj92v0,Home and Garden,Then I made marks to match the center line.,instruction
2Xyfgwj92v0,Home and Garden,I carefully transfer the center line to the table itself,instruction
2Xyfgwj92v0,Home and Garden,This gave me a mark that is aligned with the center of the bit.,effect
2Xyfgwj92v0,Home and Garden,"To test out the mark, I used a very accurate ruler to set the depth of the fence to three inches",instruction
2Xyfgwj92v0,Home and Garden,I made a test cut and then measured it with a half inch bit,instruction
2Xyfgwj92v0,Home and Garden,The measurement to the inside edge should be 2.75 inches,instruction
2Xyfgwj92v0,Home and Garden,"It looked really close, so I measured it with a caliper.",instruction
2Xyfgwj92v0,Home and Garden,"As you can see here, it's within 2007 inch which is really close with the success of the first few cuts I decided to build the rulers right into the table.",description
2Xyfgwj92v0,Home and Garden,These steel rulers were just a dollar each at harbor freight,tool
2Xyfgwj92v0,Home and Garden,I took some basic measurements and cut them down to size using a pair of tin snips.,instruction
2Xyfgwj92v0,Home and Garden,Then I use the rulers themselves as a guide for drawing the marks,instruction
2Xyfgwj92v0,Home and Garden,I would need to embed them in the table.,instruction
2Xyfgwj92v0,Home and Garden,I carefully aligned a scrap of wood and clamped it in place so it could work as a guide for my router.,instruction
2Xyfgwj92v0,Home and Garden,I set the router's bit so that it would cut a slot just a little bit deeper than the thickness of the ruler.,instruction
2Xyfgwj92v0,Home and Garden,I then repeated the process for the other side.,instruction
2Xyfgwj92v0,Home and Garden,I added hot glue to the slot and set the ruler in place,instruction
