Start,End,Script,P1,P2,Final,Match,
218.29,226.29,My waistline is 72 centimeters and you have to add 4 centimeters extra because of the movement and once again you have to divide that with four,instruction,Early Instruction,,,x
226.36,232.49,And in my case here I don't have to do any changes at all because it fits perfectly,description,Early Instruction,,,x
233.16,240.99,If you have your waistline is bigger you have to increase on both sides and the incisions,early instruction,Early Instruction,,,
241.14,242.57,Baseline is small,early instruction,Early Instruction,,,
242.58,246.21,Then you have to take away from the front piece only in the incisions.,early instruction,Early Instruction,,,
246.29,252.18,And on the back piece it's better to create one more extra incision so you will have two incisions on the back.,early instruction,Early Instruction,,,
255.01,262.24,For the shoulders I'm gonna start to create a helpline that is just a straight line from the outer points of the shoulders,instruction,Early Instruction,,,x
262.33,272.17,"For me, my shoulders are about 15 centimeters and it means that I have to actually add one more extra centimeter because of the movement",instruction,Early Instruction,,,x
272.18,273.9,So I'm just going to go ahead and add that.,side note,Early Instruction,,,x
275.59,278.08,The last change is your bust length,transition,Subgoal,,,x
278.13,284.08,"If your busts are a little bit upwards, or if your ***** are a little bit downwards, these are the adjustments that you have to do",early instruction,Early Instruction,,,
284.15,290.86,"I don't usually like to play with this part just because it's not necessary for me, but if you want to, you can do it",side note,Early Instruction (optional),,,x
290.87,292.32,And this is what you have to do.,transition,Transition,,,
293.89,299.67,Adjustment is made on the frontline of the inner part of the Buddhist incision,early instruction,Early Instruction,,,
299.68,307.02,Pacelines incisions length always has to be adjusted as much as the bust incision,early instruction,Early Instruction,,,
307.7,308.5,Easier said,side note,Early Instruction,,,x
308.51,311.38,"If your ***** a little bit down, you have to move the incision",early instruction,Early Instruction,,,
311.63,313.76,"Both incisions, a little bit downwards",early instruction,Early Instruction,,,
313.77,318.58,"If your ***** are a little bit up, you have to move the incision upwards, both of them.",early instruction,Early Instruction,,,
319.65,329.15,"For the sleeves, my arm length is 57, so it means I have to take away 3 centimeters and I'm taking them away right where the arrow shows.",description,Instruction,,,x
341.01,346.82,"If your arm length is longer, then you have to add right where the error shows",early instruction,Early Instruction,,,
346.91,353.22,Add exactly the same amount of the extra measurements that you need to add to the pattern.,instruction,Early Instruction,,,x
354.75,367.78,"Then you're going to measure around your arm, and for me it was 27 and you have to add at least 5 centimeters or 7.5 centimeters, and ",early instruction,Early Instruction,,,
,,in this case I didn't have to change anything because it was perfect,side note,,,,
368.06,380.62,"But if you have to add or you have to take away, these are the photos that you can follow how to do and ",late instruction,Early Instruction,,,x
,,this is how I make my basic pattern for Buddhist in my own size,outro,,,,
380.99,384.66,"If there is any part in this video where you did not understand, please.",side note,Outro,,,x
384.73,389.01,Comment below and I'm going to try my best to answer each and every comment,side note,Outro,,,x
389.06,398.95,"I really hope you get the same results and even better, and you can finally have your basic pattern for buddies in your own size so you can create and follow my duis",side note,Outro,,,x
399.48,404.63,"I really hope you like this video and if you did, please give it a thumbs up and don't forget to subscribe to my channel",side note,Outro,,,x
404.7,405.57,Like always,side note,Outro,,,x
405.58,410.41,If you have any other suggestions or what kind of videos you want to see on my channel please comment below,side note,Outro,,,x
410.42,411.51,See you till next time.,outro,Outro,,,
