Start,End,Script,P1,P2,Final,Match,
166.37,169.46,Beautiful this whole that pull it all the way over,instruction,Instruction,,,
169.67,171.08,That's the right side,description,Instruction,,,x
171.13,173.78,Take the right foot over the left knee,instruction,Instruction,,,
173.99,175.6,Both hands and justice,instruction,Instruction,,,
175.61,176.5,Pull it over,instruction,Instruction,,,
176.51,180.62,Try to sit up as straight as you can and you'll feel the whole outside of the buttocks,instruction,Instruction,,,
180.71,185.64,Just release the third exercise is just taking the side involved,transition,Instruction,,,
185.65,186.8,This is my left side,description,Description,,,
186.81,188.38,I'm going to work my left buttocks,subgoal,Instruction,,,x
188.81,194.02,"OK, we're going to bend that knee in front of us just like this as I show you here",instruction,Instruction,,,
194.09,196.5,Keep that back leg straight as possible.,instruction,Instruction,,,
196.57,198.59,Keeping your knee obviously behind you,instruction,Instruction,,,
198.84,209.53,"Keeping that back straight and all we're going to do is just lean our body forward, and if you can't go all the way down, just go down to the point to where you really feel that left buttocks burn",instruction,Instruction,,,
210.02,210.69,Right side,transition,Instruction,,,x
210.7,221.19,"Now got the right knee bent, left leg straight behind us arms resting on the floor and just leading forward leaning forward far as you can",instruction,Instruction,,,
221.24,226.04,"If you can go down all the way down, great, hold it there good 30 seconds and.",instruction,Instruction,,,
226.69,237.03,"Relax, the last exercise is taking a ball that you have",transition,Instruction,,,x
,,"a tennis ball, a golf ball, a softball anything that's hard and firm lacrosse ball.",tool (multiple),Tool (multiple),,,
237.86,250.81,Something that we can put pressure and need that muscle and the way we're going to do this is a modification of the piriformis stretch but a little different and what we're going to do is we're going to work the left side OK,justification,Briefing,,,x
251.18,254.72,We're going to bend that left knee behind this.,instruction,Instruction,,,
255.96,260.59,"Right knee, we're just like this, we'll put that left ankle behind the right knee",instruction,Instruction,,,
260.66,268.31,"We're not going to really pull up much like we did before, but we're going to leave it like this and we're going to put the ball in that area",instruction,Instruction,,,
268.32,271.21,That's giving us problem that lower buttocks area to release that muscle,instruction,Instruction,,,
271.32,274.08,"And once it's in there, we're going to pull up a little bit",instruction,Instruction,,,
274.14,276.84,But we're just kind of kind of roll little circles.,instruction,Instruction,,,
277.6,280.59,"Good, it's just going to roll over that point",instruction,Instruction,,,
280.6,282.43,You can reposition it a different area.,instruction,Instruction,,,
283.12,291.35,And roll over that point and,instruction,Instruction,,,
,,the reason why we're bending this knee a little bit is that we want to take tension off the external rotators,justification,Justification,,,
291.4,299.44,"OK, so as we do it, we're kind of taking tension off that muscle in the buttocks, as we're rolling that ball and little circles",description,Instruction,,,x
299.45,300.29,You can do that,side note,Instruction,,,x
300.68,304.43,"Be a little creative, 30 seconds a minute, 2 minutes",side note,Instruction,,,x
304.7,308.73,Just get to that area until you release that tight trigger point,tip,Instruction,,,x
308.84,313.02,So these are four great stretch exercises you can do to help.,reflection,Description,,,x
313.09,319.27,Combat that sciatic lower back discomfort when those muscles contract are squeezing on those nerves,reflection,Description,,,x
319.42,323.25,We want to get them to relax so we can give you lots of relief,reflection,Description,,,x
323.34,324.59,I ask you to share this video,outro,Outro,,,
324.6,328.33,"Subscribe and most important, make it a great day.",outro,Outro,,,
328.99,330.46,I'm doctor Alan Mandel.,outro,Outro,,,
