Start,End,Script,P1,P2,Final,Match
378.16,381.65,you can also use it on your face maybe when you are suffering from that sports,context,context,context,
381.66,386.67,if you have dark spots on your face that you want to eliminate this is a very very good remedy for him,context,context,context,
386.68,389.03,so that is why we've done our harley verragio,reflection,context,reflection,
389.12,394.08,so instead of you just looking for aloe vera every time you can just do this and you can keep it in your fridge,reflection,context,reflection,
394.09,402.89,you can stay for up to about a week or two depending on how cold the temperature is and it's going to stay put,reflection,context,reflection,
404.4,411.14,so people regularly ask me what i use on my skin what i use on my hair and i'll tell them that this is one of the many things that i love,reflection,context,reflection,
411.15,415.92,using aloe vera is like very very good remedy for so many things,reflection,context,reflection,
415.93,,guys so this is the real mvp,reflection,closing,reflection,
,419.88,if you enjoyed my video,closing,closing,closing,
419.89,426.02,if you enjoyed making of this illiberal jail please kindly give this video thumbs up and kindly subscribe to my channel,self-promo,self-promo,self-promo,
426.03,432.82,if you have not done that already today you don't miss out on any other video i'm going to be sharing with you until i come your way again,self-promo,self-promo,self-promo,
432.83,434.88,guys just stay beautiful and have a nice time,closing,closing,closing,
435.07,436.03,bye,closing,closing,closing,
